review_id,player_id,ship_id,voyage_id,review_text,rating,review_date,language
1,354,10,50,I loved the slot machines on the Zuiderdam. Best casino experience I have had on any cruise line. Will definitely come back.,5,2025-11-16,en
2,480,1,5,"Casino experience on our Bahamas 4-Day cruise aboard the Mardi Gras: Spent a couple of evenings playing slots. Normal odds, nothing special to report.",3,2025-11-11,en
3,322,4,17,"ATM fees in the casino were outrageous. $8 per transaction is highway robbery. Overall, the Carnival Venezia casino gets a pass from me.",1,2025-10-15,en
4,296,7,33,Casino experience on our Southern Caribbean 10-Day cruise aboard the Rotterdam: Won big on the slot machines! The atmosphere was electric with everyone cheering.,5,2025-11-06,en
5,83,6,30,First time playing craps on a cruise ship (Carnival Panorama). The loyalty tier system is confusing. Could not figure out how to earn or redeem points.,2,2025-12-01,es
6,316,1,3,The casino on the Mardi Gras was amazing! The loyalty tier system is confusing. Could not figure out how to earn or redeem points.,1,2025-11-02,en
7,379,4,19,Spent most evenings in the casino on the Carnival Venezia. Loved the poker tournament on sea days. Well organized with good prize pools.,5,2025-11-07,en
8,333,11,54,The casino on the Westerdam was terrible! ATM fees in the casino were outrageous. $8 per transaction is highway robbery.,1,2025-11-29,en
9,184,11,51,"The dealers on the Westerdam were friendly. Played a few rounds of blackjack. Won some, lost some. Pretty average experience.",3,2025-10-09,en
10,150,7,35,Spent most evenings in the casino on the Rotterdam. Felt like the house edge was much higher than Las Vegas. Not great value.,2,2025-11-12,en
11,124,1,1,Spent most evenings in the casino on the Mardi Gras. Casino was beautifully decorated and spacious. Never felt crowded even on peak nights.,4,2025-10-22,en
12,150,7,34,Casino experience on our Bahamas 4-Day cruise aboard the Rotterdam: Casino was beautifully decorated and spacious. Never felt crowded even on peak nights.,4,2025-11-03,en
13,348,3,13,"Had a amazing time at the baccarat tables on the Jubilee. Spent a couple of evenings playing slots. Normal odds, nothing special to report.",3,2025-11-03,en
14,85,3,12,"Spent most evenings in the casino on the Jubilee. Progressive jackpot slots were exciting. Someone won $15,000 on our sailing!",5,2025-10-25,en
15,320,9,42,"Best casino experience I have had on any cruise line. Will definitely come back. Overall, the Koningsdam casino gets a strong avoid from me.",4,2025-11-02,es
16,308,5,23,"The casino on the Carnival Firenze was wonderful! The dealers were friendly and professional, made the experience really enjoyable.",4,2025-11-04,en
17,230,4,16,I was disappointed by the slot machines on the Carnival Venezia. Loved the poker tournament on sea days. Well organized with good prize pools.,5,2025-10-09,en
18,299,4,19,"Spent a couple of evenings playing slots. Normal odds, nothing special to report. Overall, the Carnival Venezia casino gets a solid recommendation from me.",3,2025-11-08,en
19,198,12,60,First time playing slots on a cruise ship (Volendam). Loved the poker tournament on sea days. Well organized with good prize pools.,5,2025-11-17,en
20,145,10,49,Spent most evenings in the casino on the Zuiderdam. Felt like the house edge was much higher than Las Vegas. Not great value.,1,2025-11-15,en
21,116,6,26,"The dealers on the Carnival Panorama were professional. Progressive jackpot slots were exciting. Someone won $15,000 on our sailing!",4,2025-10-24,en
22,191,5,24,"Had a decent time at the baccarat tables on the Carnival Firenze. Played a few rounds of blackjack. Won some, lost some. Pretty average experience.",3,2025-11-09,es
23,70,12,56,Spent most evenings in the casino on the Volendam. The VIP room was a fantastic experience. Personalized service and higher limits.,4,2025-10-14,de
24,314,9,45,"First time playing poker on a cruise ship (Koningsdam). Played a few rounds of blackjack. Won some, lost some. Pretty average experience.",3,2025-12-05,de
25,336,9,43,Casino experience on our Mexican Riviera 7-Day cruise aboard the Koningsdam: Best casino experience I have had on any cruise line. Will definitely come back.,5,2025-11-09,en
26,474,5,22,The dealers on the Carnival Firenze were attentive. Won big on the slot machines! The atmosphere was electric with everyone cheering.,4,2025-10-13,en
27,225,1,2,The casino on the Mardi Gras was outstanding! Casino was extremely smoky. Needs better ventilation or a non-smoking section.,2,2025-10-27,en
28,215,6,28,Spent most evenings in the casino on the Carnival Panorama. The VIP room was a fantastic experience. Personalized service and higher limits.,5,2025-11-10,en
29,254,4,16,"Played a few rounds of blackjack. Won some, lost some. Pretty average experience. Overall, the Carnival Venezia casino gets a thumbs up from me.",3,2025-10-18,en
30,4,4,19,"Won big on the slot machines! The atmosphere was electric with everyone cheering. Overall, the Carnival Venezia casino gets a two thumbs up from me.",4,2025-11-18,es
31,81,9,41,"Loved the poker tournament on sea days. Well organized with good prize pools. Overall, the Koningsdam casino gets a strong avoid from me.",5,2025-10-11,en
32,109,10,48,Had a wonderful time at the craps tables on the Zuiderdam. The casino was okay. Not as large as I expected but had all the major games.,3,2025-11-07,en
33,158,2,10,"The casino on the Celebration was okay! Played a few rounds of blackjack. Won some, lost some. Pretty average experience.",3,2025-11-29,en
34,446,6,29,"Casino experience on our Southern Caribbean 10-Day cruise aboard the Carnival Panorama: Progressive jackpot slots were exciting. Someone won $15,000 on our sailing!",5,2025-11-23,en
35,151,9,43,"The dealers on the Koningsdam were slow. Spent a couple of evenings playing slots. Normal odds, nothing special to report.",3,2025-11-06,en
36,135,5,24,Spent most evenings in the casino on the Carnival Firenze. The casino was okay. Not as large as I expected but had all the major games.,3,2025-11-07,en
37,71,1,1,The casino on the Mardi Gras was terrible! The VIP room was a fantastic experience. Personalized service and higher limits.,4,2025-10-22,en
38,172,12,56,The dealers on the Volendam were professional. The VIP room was a fantastic experience. Personalized service and higher limits.,5,2025-10-19,en
39,293,12,57,I was thrilled by the slot machines on the Volendam. Drink service in the casino was painfully slow. Had to wait 30 minutes for a cocktail.,1,2025-10-22,en
40,364,5,24,I hated the slot machines on the Carnival Firenze. The casino was okay. Not as large as I expected but had all the major games.,3,2025-11-08,en
41,56,1,4,The dealers on the Mardi Gras were professional. Great selection of table games. The blackjack tables had reasonable minimums.,4,2025-10-31,en
42,283,4,17,Had a terrible time at the poker tables on the Carnival Venezia. Good for entertainment purposes but do not expect Vegas-level gaming.,3,2025-10-16,en
43,436,4,18,"First time playing baccarat on a cruise ship (Carnival Venezia). Played a few rounds of blackjack. Won some, lost some. Pretty average experience.",3,2025-11-05,en
44,402,3,13,I loved the slot machines on the Jubilee. Good for entertainment purposes but do not expect Vegas-level gaming.,3,2025-11-09,en
45,93,4,19,The dealers on the Carnival Venezia were professional. Loved the poker tournament on sea days. Well organized with good prize pools.,4,2025-11-17,en
46,444,4,20,The dealers on the Carnival Venezia were wonderful. Staff remembered my name by the second day. That personal touch made all the difference.,5,2025-11-13,en
47,387,3,14,I appreciated the slot machines on the Jubilee. Felt like the house edge was much higher than Las Vegas. Not great value.,1,2025-11-18,en
48,86,5,23,The casino on the Carnival Firenze was okay! Decent casino but nothing extraordinary. Standard cruise ship gaming experience.,3,2025-10-28,en
49,254,5,21,"First time playing baccarat on a cruise ship (Carnival Firenze). Progressive jackpot slots were exciting. Someone won $15,000 on our sailing!",4,2025-10-13,de
